latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
36.12849,-92.44347,299.69,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,283.21,0.71,N
36.13008,-92.48083,341.7,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,287.14,5.57,N
36.12945,-92.47617,350.59,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,288.35,5.57,N
36.12881,-92.47156,331.63,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,286.36,2.91,N
36.12819,-92.46702,344.48,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,287.94,2.91,N
36.12757,-92.46249,335.25,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,286.16,2.34,N
36.13073,-92.48554,304.27,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,281.79,1.58,N
36.1273,-92.48621,329.21,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,284.41,1.58,N
36.12666,-92.48153,335.57,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,287.13,5.57,N
36.12477,-92.46771,327.74,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,286.68,2.91,N
36.12289,-92.45394,321.41,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,285.28,2.64,N
36.12859,-92.49562,309.37,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,281.67,0.98,N
36.12794,-92.49092,303.45,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,281.22,1.58,N
36.12539,-92.47227,298.32,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,284.32,2.91,N
36.12415,-92.46315,307.31,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,284.42,2.34,N
36.12352,-92.45854,314.17,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,284.81,2.34,N
36.1226,-92.47761,334.01,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,286.66,2.2,N
36.12197,-92.47301,320.6,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,285.42,2.5,N
36.12135,-92.46843,325.29,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,284.84,2.5,N
36.12009,-92.4592,330.59,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,286.56,2.43,N
36.12707,-92.51032,302.21,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,280.81,1.26,N
36.12642,-92.50558,312.58,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,283.09,1.26,N
36.12578,-92.5009,314.5,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,283.62,1.76,N
36.12515,-92.49625,308.07,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,281.69,1.76,N
36.12387,-92.48686,313.28,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,284.78,2.56,N
36.12323,-92.48222,310.07,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,284.84,2.2,N
36.12072,-92.46382,318.97,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,283.51,2.43,N
36.11945,-92.45458,319.87,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,285.52,2.18,N
36.11884,-92.45004,318.93,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,284.1,2.18,N
36.12298,-92.50619,321.83,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,283.02,1.26,N
36.12107,-92.49222,332.51,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,285.8,2.56,N
36.11602,-92.45525,333.75,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,286.58,2.18,N
36.12363,-92.51093,305.25,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,282.12,1.26,N
36.12171,-92.49688,317.1,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,283.32,1.76,N
36.12044,-92.48754,318.25,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,285.55,2.56,N
36.11918,-92.47837,315.14,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,283.42,2.2,N
36.11541,-92.45074,310.54,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,284.71,2.18,N
36.1148,-92.44626,311.62,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,282.97,0.93,N
36.1164,-92.48375,323.96,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,284.83,1.88,N
36.11261,-92.45598,324.41,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,285.09,1.65,N
36.11955,-92.50689,301.31,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,282.73,1.06,N
36.11765,-92.49294,308.6,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,283.93,1.92,N
36.11199,-92.45142,310.87,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,284.54,1.65,N
36.11487,-92.49837,321.97,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,285.36,3.14,N
36.11046,-92.46599,329.21,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,285.93,1.86,N
36.10672,-92.43858,323.58,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,282.94,1.95,N
36.11742,-92.51708,299.21,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,281.01,0.68,N
36.11678,-92.51239,310.99,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,281.71,1.06,N
36.11614,-92.50772,302.32,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,282.05,1.06,N
36.11423,-92.49371,319.85,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,284.45,1.92,N
36.11361,-92.48913,316.57,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,284.06,1.92,N
